DATE,CBBTCUSD,SP500,VIXCLS
25/11/2018,3936.69,2888.21,13.3
26/11/2018,3731.32,2888.32,13.02
27/11/2018,3775,2907.41,12.01
28/11/2018,4225.03,2905.58,12.32
29/11/2018,4248,2907.06,12.18
30/11/2018,3976,2900.45,12.6
01/12/2018,4142.01,2905.03,12.09
02/12/2018,4103.19,.,.
03/12/2018,3833.47,2907.97,12.42
04/12/2018,3901.84,2933.68,12.28
05/12/2018,3694.39,2927.25,13.14
06/12/2018,3433.26,2926.17,13.25
07/12/2018,3380.01,2939.88,12.73
08/12/2018,3401,2943.03,13.11
09/12/2018,3531.18,2945.83,13.12
10/12/2018,3410.15,2923.73,14.8
11/12/2018,3349.36,2917.52,14.42
12/12/2018,3430.24,2945.64,12.87
13/12/2018,3265,2932.47,15.44
14/12/2018,3195.71,2884.05,19.32
15/12/2018,3183,2879.42,19.4
16/12/2018,3195,2870.72,19.1
17/12/2018,3496.82,2881.4,16.04
18/12/2018,3667.77,2811.87,20.55
19/12/2018,3682.51,2834.41,18.06
20/12/2018,4075.34,2850.96,16.44
21/12/2018,3839.06,2876.32,15.29
22/12/2018,3980.46,2859.53,15.96
23/12/2018,3944.93,2840.23,16.31
24/12/2018,4034,2864.36,14.95
25/12/2018,3780,2856.27,14.75
26/12/2018,3809.88,2822.24,16.92
27/12/2018,3589.89,2826.06,15.85
28/12/2018,3888.06,.,.
29/12/2018,3729.31,2802.39,17.5
30/12/2018,3829,2783.02,17.9
31/12/2018,3691.86,2788.86,17.3
01/01/2019,3826.1,2752.06,18.71
02/01/2019,3890.79,2744.45,18.86
03/01/2019,3787.57,2803.27,16.97
04/01/2019,3820.25,2826.15,16.09
05/01/2019,3798.62,2843.49,15.93
06/01/2019,4040.99,2873.34,16.3
07/01/2019,4006.01,2886.73,15.94
08/01/2019,3993.86,2885.72,15.99
09/01/2019,4004.12,2879.84,15.91
10/01/2019,3626.12,2891.64,15.82
11/01/2019,3635.69,2886.98,15.28
12/01/2019,3619.41,2889.67,15.35
13/01/2019,3514.24,2917.75,15.15
14/01/2019,3664.19,2926.46,14.33
15/01/2019,3580.76,2954.18,14.75
16/01/2019,3609.71,2950.46,15.4
17/01/2019,3640.65,2945.35,15.26
18/01/2019,3607.85,2917.38,16.28
19/01/2019,3682.65,2913.78,16.21
20/01/2019,3536.19,2924.92,15.82
21/01/2019,3531.76,2941.76,15.08
22/01/2019,3577.03,2964.33,14.06
23/01/2019,3553.01,2973.01,12.93
24/01/2019,3568.97,2995.82,12.57
25/01/2019,3562.17,.,.
26/01/2019,3556.07,2990.41,13.28
27/01/2019,3531.02,2975.95,13.96
28/01/2019,3429.95,2979.63,14.09
29/01/2019,3397.42,2993.07,13.03
30/01/2019,3437.55,2999.91,12.93
31/01/2019,3411.5,3013.77,12.39
01/02/2019,3437.5,3014.3,12.68
02/02/2019,3468.43,3004.04,12.86
03/02/2019,3414.78,2984.42,13.97
04/02/2019,3409.57,2995.11,13.53
05/02/2019,3428.4,2976.61,14.45
06/02/2019,3367.36,2985.03,13.53
07/02/2019,3359,3005.47,12.61
08/02/2019,3621.99,3019.56,12.07
09/02/2019,3623.73,3003.67,12.74
10/02/2019,3648.84,3025.86,12.16
11/02/2019,3590.36,3020.97,12.83
12/02/2019,3588.06,3013.18,13.94
13/02/2019,3576.68,2980.38,16.12
14/02/2019,3561.5,2953.56,17.87
15/02/2019,3566.59,2932.05,17.61
16/02/2019,3582.37,2844.74,24.59
17/02/2019,3625.08,2881.77,20.17
18/02/2019,3867,2883.98,19.49
19/02/2019,3888.01,2938.09,16.91
20/02/2019,3938.99,2918.65,17.97
21/02/2019,3897.71,2883.75,21.09
22/02/2019,3942.02,2926.32,17.52
23/02/2019,4110,2840.6,22.1
24/02/2019,3734.22,2847.6,21.18
25/02/2019,3818.79,2888.68,18.47
26/02/2019,3799.48,2923.65,16.88
27/02/2019,3799.91,2900.51,17.5
28/02/2019,3792.14,2924.43,15.8
01/03/2019,3806.17,2922.95,16.68
02/03/2019,3809.7,2847.11,19.87
03/03/2019,3786.93,2878.38,19.32
04/03/2019,3700.72,2869.16,20.31
05/03/2019,3844.59,2887.94,19.35
06/03/2019,3851.89,2924.58,17.88
07/03/2019,3857.05,2926.46,18.98
08/03/2019,3843.12,.,.
09/03/2019,3917,2906.27,19.66
