Date,open,high,low,close,volume 
15/07/2013,124.0800018,124.3899994,123.8399963,124.1800003,4133200
16/07/2013,124.7600021,125.2099991,124.3300018,124.8899994,5577300
17/07/2013,125.0400009,125.6999969,122.7300034,123.3199997,10882400
18/07/2013,124.1100006,124.5199966,123.7799988,124.0100021,6150900
19/07/2013,124.8899994,125.4199982,124.6500015,125.1100006,5767800
22/07/2013,127.6500015,129.4600067,127.5899963,128.8399963,10851900
23/07/2013,128.6999969,130.1399994,128.3500061,129.7100067,8820100
24/07/2013,129.1699982,129.3999939,126.8700027,127.4800034,9979100
25/07/2013,127.6999969,128.8699951,127.6399994,128.6699982,4702400
26/07/2013,128.1100006,128.9700012,126.7799988,128.7799988,6148500
29/07/2013,128.4499969,128.7799988,128.25,128.4700012,3554100
30/07/2013,127.9499969,128.3099976,127.2200012,128.1199951,4487700
31/07/2013,127.7600021,128.9199982,126.1299973,127.9599991,16015300
01/08/2013,127.8399963,127.8899994,126.3300018,126.6100006,10564300
02/08/2013,126.7399979,127.25,126.3199997,126.3600006,6466300
05/08/2013,126.5100021,126.6399994,125.3399963,125.6999969,4003900
06/08/2013,124.3300018,124.5500031,123.5500031,123.9700012,6016200
07/08/2013,124,124.5999985,123.8499985,124.1500015,5304700
08/08/2013,124.7799988,126.9899979,124.7699966,126.8600006,8653600
09/08/2013,126.5100021,127.2699966,126.3000031,126.8600006,6192000
12/08/2013,129.5700073,129.7100067,128.8800049,129.1300049,7414300
13/08/2013,128.4900055,128.6499939,127.3799973,127.7399979,7336100
14/08/2013,127.6600037,129.0700073,127.5699997,129,8713200
15/08/2013,128.0599976,132.3600006,127.9800034,131.6900024,17226300
16/08/2013,132.5599976,133.2700043,131.3899994,132.5800018,14447100
19/08/2013,132.3300018,132.5,131.5899963,132.0099945,8118400
20/08/2013,132.0299988,133.1300049,132.0200043,132.4499969,7809100
21/08/2013,131.7400055,133.2299957,131.5099945,132.0700073,10720200
22/08/2013,132.5599976,133.4600067,132.2700043,132.8099976,5741800
23/08/2013,132.5800018,135.2400055,132.5,134.8999939,11623400
26/08/2013,134.8800049,135.6000061,134.1499939,135.4499969,7692100
27/08/2013,136.9400024,137.5500031,136.5200043,136.75,11283300
28/08/2013,137.2100067,137.4600067,136.6600037,136.7100067,13650400
29/08/2013,136.1199951,136.5500031,135.4199982,135.8699951,7939400
30/08/2013,134.6499939,135.7100067,134.4400024,134.6199951,7680000
03/09/2013,135.4600067,136.7899933,135.0299988,136.4199982,8100700
04/09/2013,134.6100006,134.8399963,133.7200012,134.6600037,7785400
05/09/2013,134.1300049,134.3500061,131.8000031,132.1999969,11118600
06/09/2013,133.4199982,134.3999939,133.3300018,134.1499939,8448700
09/09/2013,134.1300049,134.3200073,133.6699982,133.9100037,5090500
10/09/2013,131.8200073,132,131.1100006,131.7400055,8433100
11/09/2013,131.5800018,131.8099976,131.2599945,131.6999969,5046600
12/09/2013,128.6199951,128.7799988,127.6100006,127.6699982,12944000
13/09/2013,127.1600037,127.9599991,126.2099991,127.8199997,12060400
16/09/2013,127.4800034,128.0200043,126.3300018,126.4499969,9829100
17/09/2013,126.8099976,126.9899979,126.1100006,126.5,8135500
18/09/2013,125.3199997,132.1600037,125.1500015,132.0099945,24780000
19/09/2013,132,132.7799988,131.2200012,131.75,14353900
20/09/2013,130.6000061,130.9100037,127.9000015,127.9599991,19558200
23/09/2013,127.5199966,128.4400024,127.3300018,127.5500031,7421800
24/09/2013,126.4000015,128.2100067,126.3399963,127.6600037,7349700
25/09/2013,127.5699997,129.2100067,127.5199966,128.7899933,7519100
26/09/2013,128.6100006,128.9900055,127.3199997,127.7900009,9491300
27/09/2013,128.8600006,129.5800018,128.8399963,128.9700012,7430200
30/09/2013,127.9499969,129.1399994,127.6999969,128.1799927,8979000
01/10/2013,125.25,125.2600021,123.8099976,124.5899963,16721100
02/10/2013,125.3700027,127.8099976,125.3399963,127.0599976,11994200
03/10/2013,126.7699966,127.6900024,126.2200012,127.1800003,11632900
